,condition,date,description,engine hours (total),id,length overall (LOA),make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
10,like new,2016-11-23 13:50,"This is a great family boat with plenty of power to pull a wakeboard or the kids on a tube. You won't find another fresh water boat with this low of hours and this nice of condition, absolutely NO fading whatsoever. The boat has really nice grey snap-in carpets that I never use, hence the reason they are NOT pictured. They are in like NEW condition with NO stains or tears.",57,5889485351,23,Yamaha,,SX-230,$17900,power, (Altoona),2008 Yamaha SX-230... (High Output 320 HP ),https://scranton.craigslist.org/boa/5889485351.html,2008
11,excellent,2016-11-23 13:11,"CLEAN 2004 SEARAY SUNDECK, MERCURSIER   V8 5.0 MPI FUEL INJECTED WITH ONLY 290 HOURS, JUST SERVICED, BOAT IS WATER READY, COMES WITH BIMINI TOP, FULL CAMPER CANVAS W /SCREENS. HAS HEAD, WET BAR REAR WASH DOWN, THESE ARE VERY HARD TO FIND WITH LOW HOURS.",290,5889460377,24,Huntingdon,,,$13690,power, (Huntingdon),SEARAY SUNDECK 240 SUNDECK MERCURSIER V8 MPI,https://scranton.craigslist.org/boa/5889460377.html,2004
12,,2016-11-23 11:58,"14 foot aluminum boat sea nymph & trailer, trailer has new tires & rims. Very good condition. Also have trolling motor. Maybe trade for ATV.",,5881628339,14,,"https://maps.google.com/maps/preview/@41.322800,-74.882400,16z",,$1200,power,,14 foot aluminum boat & trailer,https://scranton.craigslist.org/boa/5881628339.html,
13,like new,2016-11-23 11:11,"5 years old. Great condition. Can take a gas or trolling motor. Room for 2: Measures 12'l. x 3'8""w. x 1'3""d., holds 1-2 hunters (NOTE: the Stealth 2000 only includes one seat, but you can find additional seats on our site) Cockpit measures a generous 8'l. x 3'w. x 10""d. Made from 100% custom-compounded polyethylene for exceptional durability Two gun racks and shell holders 360° swiveling, cushioned seat with folding backrest Storage compartment under seat to store marine battery Cup and thermos holder Handles on both ends Water-tight storage compartment in back, dog platform in front Tie-down slots front and rear Backed by a 5-yr. mfr. limited warranty 460-lb. weight capacity Rated for a 2HP motor Weighs 130 lbs. Proudly made in the USA - See more at: http://www.sportsmansguide.com/product/index/beavertail-stealth-2000-sneak-boat?a=1524650&pm2d=CSE-SPG-15-PLA&utm_medium=PLA&utm_source=Google&utm_campaign=CI&gclid=CjwKEAiAmdXBBRD0hZCVkYHTl20SJACWsZj9mARf6H9oe8AZ3ZXHFAJhGmzt8FgB0XKXXTNaGjmubRoC8UPw_wcB#sthash.gur7ExMr.dpuf",,5889375284,12,Stealth,,Beaver Tail 2000,$700,human, (Susquehanna),Beaver tail Stealth 2000 boat,https://scranton.craigslist.org/boa/5889375284.html,2011
14,,2016-11-23 08:46,new carpet 24 volt 46lbs thrust motor guide trolling motor 90 hp inboard jet fish finder new tires on trailer ready to go electric winch swivel seats 15 gallon live well rod holders extra storage current registration new tags electric anchor river anchor new batteries clean title many extras show contact info can't get texts on land line must see sweet valley pa 18656 make offer,,5857410080,18,,"https://maps.google.com/maps/preview/@41.306600,-76.133900,16z",,$1,power, (sweet valley),bass tracker pro jet 18,https://scranton.craigslist.org/boa/5857410080.html,
15,good,2016-11-22 22:37,"1957 Wizard Powermatic 25 - 25hp complete with tiller, and a fresh water motor. $350 FIRM",,5888881777,25,Wizard,"https://maps.google.com/maps/preview/@41.317500,-75.788500,16z",Powermatic 25,$350,power," (Inkerman, PA)",1957 Wizard Powermatic 25 - 25hp,https://scranton.craigslist.org/boa/5888881777.html,1957
16,good,2016-11-22 22:36,Mercury KG-9 Freshwater Run Outboard. The motor comes with a Mercury dealer display stand (Not in picture). $1850 FIRM,,5888881185,9,Mercury,"https://maps.google.com/maps/preview/@41.317500,-75.788500,16z",KG-9,$1850,power," (Inkerman, PA)",Mercury KG-9 Freshwater Run Outboard & Display Stand,https://scranton.craigslist.org/boa/5888881185.html,1951
17,fair,2016-11-22 22:35,"Four classic outboards for sale for parts or repair. 1956 7.5hp ScottAtwater, 1975 Johnson 4hp, 1975 SeaKing 7.5hp, and 1976 Clinton 3.5hp. All turn freely with compression. $125 for all four.",0,5888880313,4,"Scott, Johnson, Sea King, Clinto","https://maps.google.com/maps/preview/@41.574400,-75.588100,16z","7.5, 7.5, 3.5, 4",$125,power," (Scott Twp., PA)",Four Classic Outboards for Sale Package Deal,https://scranton.craigslist.org/boa/5888880313.html,1956
18,good,2016-11-22 16:03,"2007 Yamaha SR210 Jet Boat - Twin Engine Boat is in great working condition. No problems at all. Under 150 hours on boat, verified at last service. Great deck layout, plenty of room for (9) persons and ample storage. Includes am/fm/cd/sat stereo with (4) speakers, Bimini top, Tandem axle trailer with new rims and tires, float on guides, swing trailer tongue. This is excellent lake boat that starts first time every time.",,5878149125,21,,,,$10300,power,,!!2007%#%Yamaha SR210&*%%682729 Jet Boat@#(feet):21@,https://scranton.craigslist.org/boa/5878149125.html,
19,excellent,2016-11-22 14:24,Excellent Condition ..VERY Low hours ..less than 70 ..this is a 150HP TWO STROKE TRIPLE ..70 MPH ...new battery ..includes load rite trailer with new tires ...titles in hand for both Ski and trailer ..trades considered ...,70,5888263933,113,Kawasaki,"https://maps.google.com/maps/preview/@40.950600,-76.048700,16z",Ultra 150,$3200,power, (hazleton),Jet Ski Kawasaki Ultra 150,https://scranton.craigslist.org/boa/5888263933.html,2001
20,,2016-11-22 14:10,Trailer has title boat has title no leaks motor ran last year might need a tune up fisherman finder oars and trolling motor 800 firm as is,,5877753469,14,,,,$600,power,,1981 14 ft deep fisherman,https://scranton.craigslist.org/boa/5877753469.html,
21,like new,2016-11-22 14:06,"-1998 Sugar Sand Heat XRS 120 HP Mercury Jet Boat -NEW battery and both Carburetors were JUST REBUILT this year -Fresh water boat, runs well and very nimble -Lots of fun for tubing and water skiing---2 person tube, ropes, and 2 life jackets INCLUDED -BRAND NEW cover this year -WINTERIZED and ready to go Priced to sell out of season $4000 (negotiable), includes trailer.",,5877867899,13,Sugar Sand,"https://maps.google.com/maps/preview/@41.364287,-76.059208,16z",XRS 120 HP Mercury Jet Boat,$4000,power, (Harveys Lake),Boat DEAL $$$,https://scranton.craigslist.org/boa/5877867899.html,1998
22,,2016-11-22 12:02,2013 Crownline 185SS 2013 Crownline Bowrider 185 SS,,5887885951,18,,,,$19000,power,,2013 Crownline 185SS,https://scranton.craigslist.org/boa/5887885951.html,
23,,2016-11-22 11:32,1998 Baja 302 One owner Low Hours 1998 Baja 302,,5887884848,30,,,,$27000,power,,1998 Baja 302,https://scranton.craigslist.org/boa/5887884848.html,
24,,2016-11-21 09:56,We offer high quality products at great prices with a great warranty. Please check out our website for our full line of products. Thanks for your interest.,,5844071392,24,,"https://maps.google.com/maps/preview/@34.830500,-87.656000,16z",,$70,power, (AL),VORTEX BOAT COVERS - CANOE/KAYAK COVERS AND MORE,https://scranton.craigslist.org/bod/5844071392.html,
25,,2016-11-21 01:31,$500 obo nothing wrong with it no paper work not sure how to get it 3 seater plastic boat need gone asap,,5885980760,10,,"https://maps.google.com/maps/preview/@41.427400,-75.646500,16z",,$500,human, (Scranton),Flat bottom boat,https://scranton.craigslist.org/boa/5885980760.html,
26,,2016-11-20 18:56,Genesis 94 Volvo Penta inboard/outboard motor 18 foot length comes with original Genesis trailer call Michael @ 8 78 9 314,,5853458212,18,,,,$2000,power, (wyoming),GENESIS 94,https://scranton.craigslist.org/boa/5853458212.html,
27,like new,2016-11-20 14:11,"Belch pump, live well, 2 fish depth finders- 2 Pedestal seats, 1 stationary seat- 2 brand new tires and rims, 43 pound trust troll motor- 9.9 mercury motor. It is in great shape!       $2300.00 OBO Please call show contact info for details.",,5885267568,14,Spectrum,https://maps.google.com/?q=loc%3A+%39%30%38+Archbald+St+Scranton+PA+US,Avenger,$2300,power, (Scranton),1996 Spectrum Avenger 14' Bass Boat,https://scranton.craigslist.org/boa/5885267568.html,1996
28,excellent,2016-11-20 09:33,"1991 Grady White 20' overnighter, re-powered with 150hp evinrude e-tec outboard motor, new gauges, cost of repowering $16,000.00 new throttle, cables & linkage. New fuel line, new Bimini top, new fish-finder w/side structure scan. Lorance ($1,400.00) unit. Motor has 5 year warranty from 4/12/2013 . Stainless steel prop. Motor has less than30 hours. Boat is in good shape. Galvanized trailer w/ new winch. These new motors take very little gas and are rated as either the best or one of the best for not polluting the environment. they are easy to flush and take less than 5 minutes to winterize. Nothing needed to winterize. Has automatic fogging for winterizing. Any questions please text show contact info Must sell due to change in circumstances. To see more pictures see add on craigslist harrisburg.",20,5884891402,20,Grady White,https://maps.google.com/?q=loc%3A+%35+Hilltop+Dr+Grantville+PA+US,20' overnighter,$12500,power, (Grantville),"Grady White 20"" W/new ETECH motor",https://scranton.craigslist.org/boa/5884891402.html,1991
29,,2016-11-20 02:22,"For sale 18 foot 1992 Sunbird corsair with a v6 4.3L OMC cobra engine, comes with trailer and yes i have titles for both. Boat still needs some work like interior put back together and motor needing a starter, other than that the hull is in great shape, trailers straight and rides straight even at 65mph. I have the fuel tank, its just not pictured in the pictures because i took it out to replace the floor. New trailer lights and valve cover gaskets. (pics posted are how it currently sits and yes its being garage kept) located in forty fort pa 18704, asking $1000 or best reasonable offer, accepting trades and lowballers please keep those offers to yourselves as ill simply ignore you because im in no rush to get rid of, just have other projects that need finishing, serious inquires only. Call or text me 570534165four - Mike",,5884688040,18,,,,$1000,power, (Forty fort),1992 18 foot Sunbird corsair boat with a v6 inboard motor for sale or,https://scranton.craigslist.org/boa/5884688040.html,
30,good,2016-11-19 17:51,"1992 Sunbird Corsair. Bought new in 1995 nice boat, runs well. 175hp I/O. Teal/ white, used only at Harveys Lake (fresh water) galvanized trailer included $3,900.00 obo. Cash only!!!! Winterized and free in door storage for the winter.",,5884296501,18,Sunbird,"https://maps.google.com/maps/preview/@41.355165,-76.036377,16z",Corsair 185SL,$3900,power, (Harveys Lake),1992 Sunbird Corsair 185SL,https://scranton.craigslist.org/boa/5884296501.html,1992
31,,2016-11-19 16:39,16.5ft Xpress Jet Boat. Yamaha 50/35 Outboard Jet. Brand new powerhead in 2012. Boat runs great. Great for fishing. Has trolling motor and gps depth finder. Additionally led lighting for night fishing. Has galvanized trailer. New impeller and liner installed in the spring. Comes with extra impeller. $6500.00. Email with questions.,,5884200170,16,,"https://maps.google.com/maps/preview/@40.863900,-76.556900,16z",,,power,,Xpress Jet Boat,https://scranton.craigslist.org/boa/5884200170.html,
32,excellent,2016-11-19 06:25,Hi for sale or trade I have a 1996 Yamaha waveventure 3 seater 700cc twin 2 stroke jet ski in extremely good condition . The whole jet drive was replaced along with a oil injection delete kit . Seats were just re wrapped in yellow marine vynil . Currently registered until 2018 I have title for ski not for trailer unfortunately . Ski has 250 original hours on it  . It has a digital dash display and is also equipped with tow leads to tube or ski . It's also equipped with reverse . Ski is about 10 ft long and about 3.5 feet wide so it's very stable on the water even in rough conditions . I'll consider all trade or cash offers so don't be afraid to ask .text preferred but you can email or call anytime . Thanks,250,5854296112,10,Yamaha,"https://maps.google.com/maps/preview/@41.355400,-75.680500,16z",Waveventure,$1800,power, (Scranton),1996 Yamaha waveventure 700cc 3 seater jet ski for sale or trade,https://scranton.craigslist.org/boa/5854296112.html,1996
33,,2016-11-18 22:31,"For Sale- 2 Sea Doo jet ski's... The first one is a 2004 GTX 3 seater, supercharged 185 hp with 189 hrs, good condition, runs great with reverse. The other Ski is a 2006 RXP 2 seater, supercharged with intercooler 215 hp with 71 hrs, good condition and also runs great with reverse. both ski's have covers and coast guard packages. The trailer is a 2 ski 2006 Karavan galvanized trailer with a spare tire. $8000.00 for the package or will split up. Call with any questions show contact info",,5883129240,6,,,,$8000,power,,Pair of Sea Doo jetski's w/Trailer,https://scranton.craigslist.org/boa/5883129240.html,
34,,2016-11-18 20:20,"1986 16 FT. OPEN BOW 90 HP FIBERGLASS BOAT WITH 1988 Load Rite TRAILER. 90 hp Evinrude motor, Loadrite trailer, extra fuel tank perfect for water skiing! Well maintained, runs good!",,5883008722,16,EBB TIDE,"https://maps.google.com/maps/preview/@41.343200,-75.530100,16z",,$5300,power,,EBBTIDE 16 FT. FIBERGLASS BOAT and TRAILER,https://scranton.craigslist.org/boa/5883008722.html,
35,,2016-11-18 16:04,PROJECT BOAT!! THIS IS A 2003 SUNTRACKER PARTY HUT 30ft PONTOON WITH TRAILER. I ONLY HAVE A BILL OF SALE FOR THIS BOAT AND TRAILER. I PURCHASED AT A SALVAGE AUCTION. NEEDS WELDING  WORK ON PONTOONS AND WORK ON INTERIOR AND SIDE PANELS . MERCURY OPTIMAX V6 MOTOR RUNS GOOD. MOTOR IS WORTH THE MONEY. TRAILER IS IN GOOD SHAPE ALSO . THIS IS A PROJECT BOAT. NEEDS ALOT OF TLC. I DONT HAVE THE TIME TO DO IT . SERIOUS INQUIRIES ONLY. PLEASE TEXT OR CALL I DONT CHECK MY EMAIL OFTEN.,,5850762665,30,,,,$6000,power, (Moosic),2003 suntracker party hut 30ft pontoon with trailer,https://scranton.craigslist.org/boa/5850762665.html,
36,,2016-11-18 13:10,This PWC has a blown cylinder but would be great for project or parts. Trailer NOT included.,,5882361767,119,Sea Doo,"https://maps.google.com/maps/preview/@41.359200,-76.045100,16z",GTI Bombardier,$200,power, (Harveys Lake),1996 Sea Doo GTI Bombardier for project or parts,https://scranton.craigslist.org/boa/5882361767.html,1996
37,good,2016-11-18 09:07,IF YOU NEED USED TIRES MAYBE IT YOUR OPPORTUNITY....call me anytime 2 tires  $50,,5881913290,1,goodyeat,"https://maps.google.com/maps/preview/@41.317500,-75.788500,16z",,$50,power, (Pittston),tires,https://scranton.craigslist.org/boa/5881913290.html,
38,new,2016-11-18 08:42,"NEW IN BOX Napoleon Prestige II Freestyle Portable Gas Grill Model # PTSS215P Great for Tailgating, boats or RV's Total cooking area of up to 320-square inch All commercial stainless steel construction for longevity Stainless steel tube burner and sear plate for consistent heat and reduced flare ups Uses standard portable propane cylinders or operates with optional 4′ hose to connect to a larger propane tank Fits with our assortment of mounts (Marine, RV, tailgate, wall, dock, etc) http://shopping.yahoo.com/21303100-napoleon-ptss215p-prestige-ii-freestyle-grill-gas-grill/ Retails for $349.00 - Priced at $200.00 OBO Please reply to post.",,5864334925,2,,,,$200,human, (S. Abington Twp.),NIB Napoleon Prestige II Freestyle Portable Gas Grill,https://scranton.craigslist.org/boa/5864334925.html,
39,new,2016-11-18 08:32,"Base Boat $26,992.00 Mercury 115HP CT Four Stroke $10,940.00 Optional Equipment: XLT Package $1,708.00 Performance Shield $1,025.00 SS Ski Tow $1,025.00 Mooring Cover $1,483.00 Sea Star Steering $1,825.00 Lifting Strakes $1,583.00 Change Room $800.00 Companionway $1,483.00 Elite Package** $1,988.00 MSRP $50,852.00 Captain Joe'S DISCOUNT -$5,980.00 BOAT SHOW SAVINGS -$4,877.00 FACTORY REBATE -$2,000.00 BUY TODAY $37,995.00* TOTAL SAVINGS $12,857.00 AS LOW AS $356.30 per Month w/10% Down *Does not included PA sales tax, dealer freight and prep fees, and Reg fees **Elite Package includes LED Interior Mood Lighting, Exterior LED Logo Lights, Depth Sounder, Trim Gauge, 2 Aft Speakers, 36Qt. In console Removable Cooler, 2 Movable Cup Holders, Non-Skid Flooring in Rear Entry. Free storage for the winter and have your boat ready for spring!",0,5881913194,24,hampton,https://maps.google.com/?q=loc%3A+%38%35%35+purdytown+tpk+lakeville+PA+US,2485XLT,$37995,power, (Lakeville),Hampton 2016 2485XLT powered with Mercury 115CT,https://scranton.craigslist.org/bod/5881913194.html,2016
40,,2016-11-18 07:40,"Boat,trailer and accessories",,5836011435,14,,"https://maps.google.com/maps/preview/@41.438900,-75.662500,16z",,$1500,human, (Clark's Summit),14' Grumman aluminum boat with trailer,https://scranton.craigslist.org/boa/5836011435.html,
41,excellent,2016-11-17 16:24,2013 Sea Ray 190 SPORT You are looking at a 2013 Sea Ray 190 Sport with only 177 hours.  The boat comes equipped with a trailer.  The boat is immaculate and has the attitude.  She looks like a high end sports car in the water!  The boat is powered with a 4.3 MPI V6 Mercruiser and is propelled with a Alpha One outdrive.,,5881074995,19,,,,$15500,power, (Pennsylvania),2013 Sea Ray-New price-82,https://scranton.craigslist.org/boa/5881074995.html,
42,,2016-11-17 12:45,"Looking to sell my 16' 1978 mirrocraft v, it has a 1989 evinrude 40hp jet and a minnkota trolling motor. Boat was all redone last year, carpeted, painted and tuned. It has a hummingbird fish finder. Comes with trailer. Looking to upgrade to a flat bottom for river use.  Serious buyers may contact me at five 7 zero eight 1 four 0 three six 9",,5842780641,16,,"https://maps.google.com/maps/preview/@41.220800,-75.773600,16z",,$2500,power, (wilkes barre),"1978 Mirrocraft V jon boat, 40hp jet",https://scranton.craigslist.org/boa/5842780641.html,
43,,2016-11-17 07:38,NO MOTOR. Boat and custom trailer BOS ONLY. Setup for a 350 chevy,,5860794228,18,,,,$600,power, (Tafton),18'Nautique ski boat and trailer,https://scranton.craigslist.org/boa/5860794228.html,
44,excellent,2016-11-17 06:08,"I have a boat cover with attached engine cover straps included ! that fits a 17ft x:75"" modified V hull. Like the boat shown in image...I had this cover for one season on my Crestliner Storm 17 w/ 65hp outboard. Cover in excellent condition, asking $100.00 Thanks Frank..",0,5840639918,17,"17 ft x75"" cover",,Boat cover,$100,power, (Sugar Run),BOAT COVER (Price Reduced),https://scranton.craigslist.org/boa/5840639918.html,2014
45,,2016-11-16 21:01,Sears Ted Williams 5.5 hp with portable gas tank. $100,,5880018712,1,sears,"https://maps.google.com/maps/preview/@41.435000,-75.610300,16z",ted williams 5.5,$100,power,,outboard motor 5.5hp,https://scranton.craigslist.org/boa/5880018712.html,
46,good,2016-11-16 17:06,Canoe is in great shape giving it away at this price 2 paddles 2 flotation seat have registration thanks for lookibg,,5875022543,17,Blue hole,,,$300,human, (Hunlock creek),17.5 blue hole canoe,https://scranton.craigslist.org/boa/5875022543.html,
47,good,2016-11-16 16:06,"engine hours (total): 325 length overall (LOA): 22 make / manufacturer: Seaark model name / number: Predator propulsion type: power year manufactured: 2012 Selling my 2012 22 ft sea ark predator . It is a 200 hp inboard sport jet. It has the upgraded .190 bottom with k5 Polly spray on it . price will include everything , Minn kota ipolit trolling motor with remote, Anchor wizard , Rod rack with 10 Driftmaster pro duos. onboard 24 volt charger and system will include all lifejackets everything is turn key ready!!! It has 40 gallonlive well in back deck and 13 gallon Bait well attached to console",325,5879621809,22,Seaark,"https://maps.google.com/maps/preview/@40.066400,-76.564500,16z",Predator,$28500,power, (Marietta),2012 sea ark predator,https://scranton.craigslist.org/boa/5879621809.html,2012
